sigla_uf,ano,total_casos,total_nascidos_vivos_br,casos_por_mil
AC,2004,263,16871,15.59
AC,2005,249,17831,13.96
AC,2006,274,16446,16.66
AC,2007,270,16182,16.69
AC,2008,268,17994,14.89
AC,2009,279,16892,16.52
AC,2010,283,16495,17.16
AC,2011,356,17817,19.98
AC,2012,318,16699,19.04
AC,2013,274,17075,16.05
AC,2014,298,17139,17.39
AC,2015,305,16980,17.96
AC,2016,305,15773,19.34
AC,2017,280,16358,17.12
AC,2018,297,16543,17.95
AC,2019,243,16280,14.93
AC,2020,206,15142,13.6
AC,2021,282,16562,17.03
AC,2022,240,15163,15.83
AC,2023,230,14473,15.89
AC,2024,174,13101,13.28
AL,2004,584,57422,10.17
AL,2005,675,59158,11.41
AL,2006,693,57510,12.05
AL,2007,768,57406,13.38
AL,2008,829,58076,14.27
AL,2009,804,55471,14.49
AL,2010,836,54164,15.43
AL,2011,897,54281,16.53
AL,2012,955,52510,18.19
AL,2013,942,52488,17.95
AL,2014,860,51859,16.58
AL,2015,827,52257,15.83
AL,2016,739,48163,15.34
AL,2017,724,50368,14.37
AL,2018,662,52496,12.61
AL,2019,606,49803,12.17
AL,2020,546,48341,11.29
AL,2021,550,48664,11.3
AL,2022,455,45777,9.94
AL,2023,431,46543,9.26
AL,2024,366,45436,08.06
AM,2004,1032,71153,14.5
AM,2005,1009,73239,13.78
AM,2006,1105,75576,14.62
AM,2007,1226,73462,16.69
AM,2008,1252,75028,16.69
AM,2009,1292,75727,17.06
AM,2010,1222,74186,16.47
AM,2011,1415,76186,18.57
AM,2012,1433,77426,18.51
AM,2013,1548,79023,19.59
AM,2014,1448,81122,17.85
AM,2015,1432,80079,17.88
AM,2016,1301,76678,16.97
AM,2017,1251,78049,16.03
AM,2018,1259,78062,16.13
AM,2019,1248,77610,16.08
AM,2020,1075,75635,14.21
AM,2021,1172,77839,15.06
AM,2022,996,71861,13.86
AM,2023,999,70453,14.18
AM,2024,812,65950,12.31
AP,2004,232,14261,16.27
AP,2005,230,14508,15.85
AP,2006,191,14712,12.98
AP,2007,231,14425,16.01
AP,2008,244,15105,16.15
AP,2009,228,14298,15.95
AP,2010,235,15007,15.66
AP,2011,258,15114,17.07
AP,2012,231,14894,15.51
AP,2013,267,15709,17.0
AP,2014,278,16271,17.09
AP,2015,247,15747,15.69
AP,2016,211,15521,13.59
AP,2017,215,15399,13.96
AP,2018,195,15864,12.29
AP,2019,173,15356,11.27
AP,2020,188,14633,12.85
AP,2021,223,16389,13.61
AP,2022,197,15058,13.08
AP,2023,139,12948,10.74
AP,2024,143,12327,11.6
BA,2004,2326,235337,9.88
BA,2005,2498,232843,10.73
BA,2006,2533,220153,11.51
BA,2007,2567,220395,11.65
BA,2008,2551,221692,11.51
BA,2009,2469,217711,11.34
BA,2010,2486,212193,11.72
BA,2011,2582,215020,12.01
BA,2012,2558,209988,12.18
BA,2013,2538,203321,12.48
BA,2014,2422,204005,11.87
BA,2015,2363,206643,11.44
BA,2016,2192,199816,10.97
BA,2017,2155,204086,10.56
BA,2018,2014,205329,9.81
BA,2019,1808,197249,9.17
BA,2020,1568,188960,8.3
BA,2021,1533,182476,8.4
BA,2022,1296,171141,7.57
BA,2023,1210,170314,7.1
BA,2024,1023,160002,6.39
CE,2004,1358,137353,9.89
CE,2005,1269,140233,09.05
CE,2006,1496,135018,11.08
CE,2007,1455,133839,10.87
CE,2008,1505,133916,11.24
CE,2009,1561,131393,11.88
CE,2010,1510,128827,11.72
CE,2011,1410,128589,10.97
CE,2012,1507,126866,11.88
CE,2013,1387,124874,11.11
CE,2014,1449,128681,11.26
CE,2015,1420,132515,10.72
CE,2016,1338,126245,10.6
CE,2017,1199,127797,9.38
CE,2018,1131,131491,8.6
CE,2019,1012,129185,7.83
CE,2020,979,121904,08.03
CE,2021,961,120262,7.99
CE,2022,761,112521,6.76
CE,2023,679,111091,6.11
CE,2024,663,105453,6.29
DF,2004,322,55605,5.79
DF,2005,339,55852,06.07
DF,2006,240,45150,5.32
DF,2007,240,44098,5.44
DF,2008,244,44173,5.52
DF,2009,212,43932,4.83
DF,2010,215,44245,4.86
DF,2011,241,43465,5.54
DF,2012,229,43497,5.26
DF,2013,236,44530,5.3
DF,2014,226,44718,05.05
DF,2015,207,46054,4.49
DF,2016,171,43340,3.95
DF,2017,134,44568,03.01
DF,2018,158,44195,3.58
DF,2019,160,42422,3.77
DF,2020,123,39361,3.12
DF,2021,189,51227,3.69
DF,2022,144,48763,2.95
DF,2023,99,35551,2.78
DF,2024,88,33282,2.64
ES,2004,377,53024,7.11
ES,2005,368,52334,07.03
ES,2006,406,51449,7.89
ES,2007,397,51019,7.78
ES,2008,438,51852,8.45
ES,2009,408,51449,7.93
ES,2010,404,51850,7.79
ES,2011,387,53043,7.3
ES,2012,413,52825,7.82
ES,2013,463,54061,8.56
ES,2014,476,56548,8.42
ES,2015,464,56941,8.15
ES,2016,418,53412,7.83
ES,2017,371,55846,6.64
ES,2018,345,56720,06.08
ES,2019,281,54925,5.12
ES,2020,308,53767,5.73
ES,2021,299,52115,5.74
ES,2022,215,51617,4.17
ES,2023,186,52187,3.56
ES,2024,188,49937,3.76
GO,2004,685,81642,8.39
GO,2005,683,82089,8.32
GO,2006,820,87465,9.38
GO,2007,775,85153,9.1
GO,2008,856,87428,9.79
GO,2009,812,87456,9.28
GO,2010,801,87467,9.16
GO,2011,761,89736,8.48
GO,2012,821,93265,8.8
GO,2013,815,94810,8.6
GO,2014,866,99787,8.68
GO,2015,774,100665,7.69
GO,2016,738,95552,7.72
GO,2017,597,97515,6.12
GO,2018,583,98866,5.9
GO,2019,530,96108,5.51
GO,2020,474,92768,5.11
GO,2021,372,78368,4.75
GO,2022,338,77513,4.36
GO,2023,378,91822,4.12
GO,2024,320,88867,3.6
MA,2004,1756,123833,14.18
MA,2005,1944,128063,15.18
MA,2006,1998,127717,15.64
MA,2007,2046,127306,16.07
MA,2008,1934,128301,15.07
MA,2009,1925,123626,15.57
MA,2010,1832,119562,15.32
MA,2011,1969,121106,16.26
MA,2012,1817,116036,15.66
MA,2013,1814,114996,15.77
MA,2014,1784,117069,15.24
MA,2015,1700,117556,14.46
MA,2016,1635,110489,14.8
MA,2017,1521,112981,13.46
MA,2018,1546,117149,13.2
MA,2019,1404,113309,12.39
MA,2020,1287,106079,12.13
MA,2021,1415,106251,13.32
MA,2022,1109,95817,11.57
MA,2023,1052,97205,10.82
MA,2024,942,92173,10.22
MG,2004,1622,277453,5.85
MG,2005,1587,276651,5.74
MG,2006,1664,266138,6.25
MG,2007,1707,259498,6.58
MG,2008,1763,260908,6.76
MG,2009,1652,252668,6.54
MG,2010,1599,255115,6.27
MG,2011,1634,259855,6.29
MG,2012,1628,260533,6.25
MG,2013,1675,258626,6.48
MG,2014,1640,267124,6.14
MG,2015,1580,268291,5.89
MG,2016,1401,253516,5.53
MG,2017,1309,260957,05.02
MG,2018,1202,263637,4.56
MG,2019,1149,256890,4.47
MG,2020,1002,247198,04.05
MG,2021,907,241785,3.75
MG,2022,783,234064,3.35
MG,2023,814,233918,3.48
MG,2024,667,219819,03.03
MS,2004,585,41378,14.14
MS,2005,524,41125,12.74
MS,2006,514,39515,13.01
MS,2007,514,38621,13.31
MS,2008,560,41228,13.58
MS,2009,546,40273,13.56
MS,2010,524,40131,13.06
MS,2011,526,42152,12.48
MS,2012,543,42252,12.85
MS,2013,531,42296,12.55
MS,2014,555,44058,12.6
MS,2015,512,44142,11.6
MS,2016,463,42432,10.91
MS,2017,475,44747,10.62
MS,2018,391,44275,8.83
MS,2019,372,43695,8.51
MS,2020,355,41308,8.59
MS,2021,326,41800,7.8
MS,2022,268,40189,6.67
MS,2023,274,40233,6.81
MS,2024,240,37908,6.33
MT,2004,611,51152,11.94
MT,2005,668,52318,12.77
MT,2006,657,49521,13.27
MT,2007,604,47381,12.75
MT,2008,603,49791,12.11
MT,2009,593,48477,12.23
MT,2010,560,48927,11.45
MT,2011,541,51216,10.56
MT,2012,564,51254,11.0
MT,2013,613,53033,11.56
MT,2014,664,56495,11.75
MT,2015,557,56671,9.83
MT,2016,544,53529,10.16
MT,2017,518,57268,09.05
MT,2018,488,58649,8.32
MT,2019,491,58852,8.34
MT,2020,445,57037,7.8
MT,2021,492,57900,8.5
MT,2022,425,58053,7.32
MT,2023,396,58553,6.76
MT,2024,369,55310,6.67
PA,2004,2066,142243,14.52
PA,2005,2220,144722,15.34
